PERIODE,CPTE,NBRJDEP,NBRJDEB,RISK_BRUT,MVT,NET_MONTHLY,DATE_OF_BIRTH,GENDER,SECTOR,MARITAL_STATUS,EMPLOYMENT_STATUS,POST_CODE,AGE
2024-04-01,CPTE_000001,0,0,0.0,4538.91,2770.82,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2024-05-01,CPTE_000001,0,0,0.0,3158.26,2408.8,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2024-06-01,CPTE_000001,1,1,0.0,3754.09,2813.32,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,48
2024-07-01,CPTE_000001,3,3,0.0,3813.99,2945.94,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,48
2024-08-01,CPTE_000001,0,0,0.0,3185.17,2437.84,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,48
2024-09-01,CPTE_000001,0,0,0.0,4477.87,2186.14,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,48
2024-10-01,CPTE_000001,0,0,164.98,3211.35,2474.28,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,48
2024-11-01,CPTE_000001,0,0,0.0,3550.55,2893.54,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,48
2024-12-01,CPTE_000001,0,0,0.0,3896.07,2245.94,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,48
2023-01-01,CPTE_000002,3,3,113.68,2499.85,1570.05,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,53
2023-02-01,CPTE_000002,0,0,90.31,3382.24,1966.97,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,53
2023-03-01,CPTE_000002,4,3,0.0,3644.49,1510.91,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,53
2023-04-01,CPTE_000002,5,5,90.06,2610.08,1655.25,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,53
2023-05-01,CPTE_000002,1,0,108.74,2409.57,1574.21,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,53
2023-06-01,CPTE_000002,3,1,113.34,2828.34,1822.74,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,53
2023-07-01,CPTE_000002,2,0,16.02,2588.5,1513.96,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2023-08-01,CPTE_000002,0,0,62.43,2516.89,1764.38,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2023-09-01,CPTE_000002,1,0,0.0,3407.42,1806.96,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2023-10-01,CPTE_000002,1,0,1.71,3991.37,1500.18,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2023-11-01,CPTE_000002,0,0,166.33,3843.04,1749.89,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2023-12-01,CPTE_000002,4,4,0.0,3353.75,1525.28,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2024-01-01,CPTE_000002,0,0,45.68,2474.93,1667.37,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2024-02-01,CPTE_000002,0,0,0.0,2325.31,1638.47,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2024-03-01,CPTE_000002,0,0,62.76,3868.16,2016.04,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2024-04-01,CPTE_000002,1,0,0.0,3119.21,1698.66,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2024-05-01,CPTE_000002,0,0,5.02,3720.67,1866.74,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2024-06-01,CPTE_000002,4,2,0.0,2557.88,1803.13,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,54
2024-07-01,CPTE_000002,0,0,0.0,3288.83,1696.37,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,55
2024-08-01,CPTE_000002,2,0,178.5,3467.91,1630.66,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,55
2024-09-01,CPTE_000002,0,0,0.0,2789.86,1261.85,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,55
2024-10-01,CPTE_000002,0,0,180.85,3567.28,1932.2,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,55
2024-11-01,CPTE_000002,1,0,163.21,2443.86,1785.93,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,55
2024-12-01,CPTE_000002,4,3,112.67,2026.36,1719.45,1969-12-27,M,Agriculture,Veuf/Veuve,Fonctionnaire,5000,55
2023-01-01,CPTE_000003,3,2,167.0,18501.88,3030.1,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-02-01,CPTE_000003,0,0,31.54,12440.25,3836.29,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-03-01,CPTE_000003,0,0,77.25,17539.08,3263.21,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-04-01,CPTE_000003,4,4,56.67,14027.51,3657.59,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-05-01,CPTE_000003,4,4,0.0,15874.19,3994.65,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-06-01,CPTE_000003,0,0,190.86,12087.38,2743.09,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-07-01,CPTE_000003,0,0,0.0,21808.19,3262.18,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-08-01,CPTE_000003,0,0,0.0,17256.73,4193.65,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-09-01,CPTE_000003,5,4,0.0,14853.76,3019.48,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-10-01,CPTE_000003,1,0,0.0,15592.12,4065.97,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-11-01,CPTE_000003,3,2,3.89,18333.29,4148.54,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2023-12-01,CPTE_000003,0,0,84.76,14928.67,3469.61,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,27
2024-01-01,CPTE_000003,10,9,105.19,16644.85,3619.29,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-02-01,CPTE_000003,1,0,0.0,18488.03,3468.02,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-03-01,CPTE_000003,0,0,143.36,17038.11,3577.68,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-04-01,CPTE_000003,4,4,188.36,14776.8,3495.94,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-05-01,CPTE_000003,0,0,0.0,19150.79,3750.89,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-06-01,CPTE_000003,5,4,0.0,17838.13,3397.87,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-07-01,CPTE_000003,6,6,72.78,10232.56,3214.13,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-08-01,CPTE_000003,2,2,132.92,18160.43,3355.59,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-09-01,CPTE_000003,3,3,121.97,12731.52,3210.15,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-10-01,CPTE_000003,0,0,51.58,14656.47,3749.9,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-11-01,CPTE_000003,2,2,103.03,15961.63,2965.12,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2024-12-01,CPTE_000003,0,0,0.0,20047.63,4158.85,1996-06-06,M,Administration,Veuf/Veuve,Indépendant,4000,28
2023-01-01,CPTE_000004,18,17,911.75,26603.4,758.19,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,29
2023-02-01,CPTE_000004,18,17,725.23,18199.9,766.74,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,29
2023-03-01,CPTE_000004,13,13,874.39,20241.64,773.2,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,29
2023-04-01,CPTE_000004,17,17,926.01,17063.51,735.38,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,29
2023-05-01,CPTE_000004,22,22,774.62,16421.77,696.99,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,29
2023-06-01,CPTE_000004,12,12,703.41,17207.39,747.8,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2023-07-01,CPTE_000004,19,19,904.31,22848.72,710.86,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2023-08-01,CPTE_000004,13,12,724.87,9706.96,837.29,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2023-09-01,CPTE_000004,18,17,722.14,19976.95,787.01,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2023-10-01,CPTE_000004,18,18,749.86,17129.79,678.75,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2023-11-01,CPTE_000004,21,20,970.35,27164.51,915.97,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2023-12-01,CPTE_000004,15,14,756.44,11462.29,711.91,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2024-01-01,CPTE_000004,15,15,777.98,14594.98,714.23,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2024-02-01,CPTE_000004,17,17,792.86,22203.78,824.35,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2024-03-01,CPTE_000004,17,17,874.35,22512.83,762.09,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2024-04-01,CPTE_000004,21,19,707.91,24627.25,716.17,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2024-05-01,CPTE_000004,18,16,814.27,15553.45,742.81,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,30
2024-06-01,CPTE_000004,21,21,740.16,21291.57,895.06,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,31
2024-07-01,CPTE_000004,18,17,930.7,20114.0,727.9,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,31
2024-08-01,CPTE_000004,13,13,775.43,16451.12,701.0,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,31
2024-09-01,CPTE_000004,21,20,807.45,26069.67,776.39,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,31
2024-10-01,CPTE_000004,15,15,842.86,17862.7,818.51,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,31
2024-11-01,CPTE_000004,24,22,963.0,26922.41,674.75,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,31
2024-12-01,CPTE_000004,17,15,826.16,22293.03,842.55,1993-10-31,M,Commerce,Divorcé(e),Sans emploi,5500,31
2023-01-01,CPTE_000005,9,8,235.27,16106.74,885.57,1969-07-29,F,Services,Marié(e),Indépendant,1500,53
2023-02-01,CPTE_000005,9,9,358.71,11951.4,981.94,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-03-01,CPTE_000005,7,5,198.63,12953.09,790.87,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-04-01,CPTE_000005,10,8,261.18,17601.18,809.29,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-05-01,CPTE_000005,9,7,154.56,9733.47,977.48,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-06-01,CPTE_000005,7,5,254.57,12168.99,941.61,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-07-01,CPTE_000005,5,4,126.61,10646.51,899.77,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-08-01,CPTE_000005,4,2,368.27,11088.49,835.05,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-09-01,CPTE_000005,5,5,362.07,12499.66,986.94,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-10-01,CPTE_000005,6,5,279.18,12043.62,938.22,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-11-01,CPTE_000005,10,8,259.38,10115.94,886.51,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2023-12-01,CPTE_000005,8,7,175.73,13368.88,937.82,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2024-01-01,CPTE_000005,6,5,219.15,14148.75,936.22,1969-07-29,F,Services,Marié(e),Indépendant,1500,54
2024-02-01,CPTE_000005,6,6,269.19,8245.62,928.31,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-03-01,CPTE_000005,13,11,336.75,14100.27,830.02,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-04-01,CPTE_000005,7,5,321.05,16983.87,1036.01,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-05-01,CPTE_000005,3,1,369.89,9263.63,780.8,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-06-01,CPTE_000005,9,8,395.95,8633.84,960.71,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-07-01,CPTE_000005,6,4,246.34,8968.81,982.04,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-08-01,CPTE_000005,8,6,345.12,10251.01,861.07,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-09-01,CPTE_000005,9,9,260.51,13980.83,1022.47,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-10-01,CPTE_000005,7,7,156.11,10156.89,745.35,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-11-01,CPTE_000005,8,7,312.17,16083.72,890.09,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2024-12-01,CPTE_000005,8,8,146.31,18660.33,762.99,1969-07-29,F,Services,Marié(e),Indépendant,1500,55
2023-01-01,CPTE_000006,0,0,81.83,11389.6,876.32,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,46
2023-02-01,CPTE_000006,1,0,149.19,14808.47,903.41,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,46
2023-03-01,CPTE_000006,1,1,72.34,13876.36,884.67,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-04-01,CPTE_000006,1,1,125.15,15800.71,937.98,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-05-01,CPTE_000006,2,2,56.92,17286.77,973.41,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-06-01,CPTE_000006,0,0,104.89,19399.19,859.74,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-07-01,CPTE_000006,3,1,31.62,20648.3,728.78,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-08-01,CPTE_000006,3,1,15.17,16878.56,903.97,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-09-01,CPTE_000006,0,0,0.0,18425.57,977.44,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-10-01,CPTE_000006,4,2,163.59,19208.55,892.51,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-11-01,CPTE_000006,0,0,0.0,15479.01,969.76,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2023-12-01,CPTE_000006,0,0,0.0,14174.03,1060.25,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2024-01-01,CPTE_000006,4,4,0.0,12861.37,1010.64,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2024-02-01,CPTE_000006,0,0,45.91,18373.35,853.0,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,47
2024-03-01,CPTE_000006,5,3,62.82,17211.39,826.12,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-04-01,CPTE_000006,0,0,187.72,10948.57,834.5,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-05-01,CPTE_000006,2,2,0.0,14163.07,911.57,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-06-01,CPTE_000006,8,8,0.0,16165.15,1035.51,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-07-01,CPTE_000006,1,0,0.0,15588.71,1063.92,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-08-01,CPTE_000006,5,4,0.0,12525.07,851.05,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-09-01,CPTE_000006,0,0,0.0,17048.92,943.56,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-10-01,CPTE_000006,0,0,0.0,17390.11,843.22,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-11-01,CPTE_000006,0,0,24.35,15027.24,756.1,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2024-12-01,CPTE_000006,0,0,35.67,13578.7,760.81,1976-08-08,F,Agriculture,Célibataire,Indépendant,6500,48
2023-01-01,CPTE_000007,0,0,0.0,9695.21,3345.42,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-02-01,CPTE_000007,1,0,0.0,9057.3,2705.84,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-03-01,CPTE_000007,0,0,87.49,7161.34,3708.51,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-04-01,CPTE_000007,0,0,0.0,11815.67,3848.3,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-05-01,CPTE_000007,0,0,49.1,19413.04,3225.92,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-06-01,CPTE_000007,1,0,0.0,10387.13,3653.49,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-07-01,CPTE_000007,0,0,0.0,16813.95,3507.54,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-08-01,CPTE_000007,0,0,22.4,8410.31,3459.26,1971-03-01,M,Services,Marié(e),Sans emploi,1000,52
2023-09-01,CPTE_000007,1,0,0.0,12126.02,2936.36,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2023-10-01,CPTE_000007,3,2,141.59,12482.96,3365.79,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2023-11-01,CPTE_000007,0,0,100.43,15337.46,3125.33,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2023-12-01,CPTE_000007,0,0,0.0,8292.64,3935.51,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-01-01,CPTE_000007,1,0,0.76,14313.15,3191.81,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-02-01,CPTE_000007,4,3,0.0,9262.17,3932.2,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-03-01,CPTE_000007,3,1,0.0,11551.69,3400.86,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-04-01,CPTE_000007,0,0,168.37,11614.62,3795.47,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-05-01,CPTE_000007,6,5,109.65,12668.97,2890.8,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-06-01,CPTE_000007,0,0,150.48,12496.49,3461.46,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-07-01,CPTE_000007,4,4,146.78,15317.78,3795.7,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-08-01,CPTE_000007,1,0,0.0,17444.71,3585.24,1971-03-01,M,Services,Marié(e),Sans emploi,1000,53
2024-09-01,CPTE_000007,0,0,0.0,13232.99,3044.52,1971-03-01,M,Services,Marié(e),Sans emploi,1000,54
2024-10-01,CPTE_000007,0,0,79.22,16597.82,3684.52,1971-03-01,M,Services,Marié(e),Sans emploi,1000,54
2024-11-01,CPTE_000007,4,3,21.31,13090.89,3205.12,1971-03-01,M,Services,Marié(e),Sans emploi,1000,54
2024-12-01,CPTE_000007,5,3,0.0,11584.0,3411.61,1971-03-01,M,Services,Marié(e),Sans emploi,1000,54
2023-01-01,CPTE_000008,14,12,381.05,6900.61,2787.12,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,52
2023-02-01,CPTE_000008,10,9,178.68,6502.21,3086.02,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,52
2023-03-01,CPTE_000008,6,6,203.32,10726.11,2729.94,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,52
2023-04-01,CPTE_000008,2,0,306.52,5058.56,2926.75,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,52
2023-05-01,CPTE_000008,7,6,342.23,6379.85,3115.14,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,52
2023-06-01,CPTE_000008,13,13,387.45,8364.62,3440.94,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,52
2023-07-01,CPTE_000008,11,9,354.76,8909.26,3027.43,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,52
2023-08-01,CPTE_000008,3,2,307.95,7561.2,2932.21,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2023-09-01,CPTE_000008,4,2,193.86,11178.03,3157.82,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2023-10-01,CPTE_000008,6,4,377.32,9007.51,3024.3,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2023-11-01,CPTE_000008,12,12,293.36,3361.81,2660.38,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2023-12-01,CPTE_000008,12,10,123.09,5816.12,3438.44,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-01-01,CPTE_000008,12,12,341.19,4549.25,3671.51,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-02-01,CPTE_000008,9,8,287.77,7740.66,3320.05,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-03-01,CPTE_000008,4,2,397.1,3862.77,3244.22,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-04-01,CPTE_000008,7,7,399.38,9145.81,2840.45,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-05-01,CPTE_000008,7,6,274.23,6532.21,2842.2,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-06-01,CPTE_000008,3,2,225.33,9669.59,2889.41,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-07-01,CPTE_000008,7,7,189.1,7150.27,3187.41,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,53
2024-08-01,CPTE_000008,10,8,112.63,4506.38,2680.71,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,54
2024-09-01,CPTE_000008,7,7,363.74,6134.88,3033.74,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,54
2024-10-01,CPTE_000008,10,10,396.76,7205.49,3065.38,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,54
2024-11-01,CPTE_000008,11,10,253.81,9730.63,2854.39,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,54
2024-12-01,CPTE_000008,6,4,111.02,8105.46,3412.91,1971-01-12,M,Industrie,Veuf/Veuve,Fonctionnaire,2500,54
2023-01-01,CPTE_000009,0,0,86.88,12891.26,3864.38,1999-09-29,M,Services,Marié(e),Salarié,5500,23
2023-02-01,CPTE_000009,0,0,0.0,11461.19,5150.19,1999-09-29,M,Services,Marié(e),Salarié,5500,23
2023-03-01,CPTE_000009,0,0,22.54,11068.45,4296.13,1999-09-29,M,Services,Marié(e),Salarié,5500,23
2023-04-01,CPTE_000009,0,0,0.0,12036.22,5002.89,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-05-01,CPTE_000009,3,3,71.4,10919.18,5254.95,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-06-01,CPTE_000009,7,7,0.0,11361.79,5135.78,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-07-01,CPTE_000009,0,0,0.2,10258.88,5141.89,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-08-01,CPTE_000009,0,0,164.49,10751.11,5260.62,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-09-01,CPTE_000009,0,0,0.54,11159.47,4639.88,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-10-01,CPTE_000009,2,2,149.64,10351.95,4985.21,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-11-01,CPTE_000009,1,1,89.54,10942.04,5358.92,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2023-12-01,CPTE_000009,0,0,133.95,11419.37,4783.48,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2024-01-01,CPTE_000009,4,3,17.65,10328.88,5261.18,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2024-02-01,CPTE_000009,0,0,181.17,9873.37,5080.24,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2024-03-01,CPTE_000009,2,0,112.57,9532.2,4636.95,1999-09-29,M,Services,Marié(e),Salarié,5500,24
2024-04-01,CPTE_000009,0,0,155.72,15222.13,4614.79,1999-09-29,M,Services,Marié(e),Salarié,5500,25
